sName,taxonID,friendlyName,category,gName
pennanti,41651,Martes pennanti,LC,Martes
commersonii,4159,Cephalorhynchus commersonii,LC,Cephalorhynchus
borealis,2475,Balaenoptera borealis,EN,Balaenoptera
guianensis,181359,Sotalia guianensis,NT,Sotalia
omurai,136623,Balaenoptera omurai,DD,Balaenoptera
crassidens,18596,Pseudorca crassidens,NT,Pseudorca
nivalis,70207409,Mustela nivalis,LC,Mustela
musculus,2477,Balaenoptera musculus,EN,Balaenoptera
longirostris,20733,Stenella longirostris,LC,Stenella
truncatus,22563,Tursiops truncatus,LC,Tursiops
dugon,6909,Dugong dugon,VU,Dugong
macrocephalus,41755,Physeter macrocephalus,VU,Physeter
capensis,1793,Aonyx capensis,NT,Aonyx
congicus,1794,Aonyx congicus,NT,Aonyx
lutris,7750,Enhydra lutris,EN,Enhydra
canadensis,12302,Lontra canadensis,LC,Lontra
longicaudis,12304,Lontra longicaudis,NT,Lontra
lutra,12419,Lutra lutra,NT,Lutra
maculicollis,12420,Hydrictis maculicollis,NT,Hydrictis
sumatrana,12421,Lutra sumatrana,EN,Lutra
perspicillata,12427,Lutrogale perspicillata,VU,Lutrogale
brasiliensis,18711,Pteronura brasiliensis,EN,Pteronura
cinereus,44166,Aonyx cinereus,VU,Aonyx
obscurus,11146,Lagenorhynchus obscurus,LC,Lagenorhynchus
glacialis,41712,Eubalaena glacialis,CR,Eubalaena
minimus,178756893,Berardius minimus,NT,Berardius
bredanensis,20738,Steno bredanensis,LC,Steno
hotaula,127826787,Mesoplodon hotaula,DD,Mesoplodon
arnuxii,2762,Berardius arnuxii,LC,Berardius
sinus,17028,Phocoena sinus,CR,Phocoena
