taxonid,assessmentid,kingdom,phylum,class,order,family,genus,species,infrarank,infratype,subpopulation,friendly_name,taxonomic_authority,category,criteria,possibly_extinct,possibly_extinct_wild,assessmentdate,assessors,evaluators,contributors,facilitators
41658,45214384,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,putorius,,,,Mustela putorius,"Linnaeus, 1758",LC,,FALSE,FALSE,05-Mar-16,"Skumatov, D., Abramov, A.V., Herrero, J., Kitchener, A., Maran, T., Kranz, A., Sándor, A., Saveljev, A., Savouré-Soubelet, A., Guinot-Ghestem, M., Zuberogoitia, I., Birks, J.D.S., Weber, A., Melisch, R. & Ruette, S.","Pacifici, M.","Fernandes, M.L., Tikhonov, A., Conroy, J., Cavallini, P., Stubbe, M., Wozencraft, C, Gippoliti, S., Veron, G., Outhwaite, W, Oldfield, T.E.E., Dronova, N., Xiao, Y., Kecse-Nagy, K., Pavanello, M., Dollinger, P., Croose, E., Sacre, V. & Vaisman, A.",
41659,45214744,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Mustela,sibirica,,,,Mustela sibirica,"Pallas, 1773",LC,,FALSE,FALSE,03-Mar-15,"Abramov, A.V., Duckworth, J.W., Choudhury, A., Chutipong, W., Timmins, R.J., Ghimirey, Y., Chan, B.P.L. & Dinets, V.","Schipper, J.",,
41661,45214988,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Neovison,vison,,,,Neovison vison,"(Schreber, 1777)",LC,,FALSE,FALSE,01-Mar-15,"Reid, F., Schiaffini, M. & Schipper, J.","Duckworth, J.W.",,
41662,45215258,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Poecilogale,albinucha,,,,Poecilogale albinucha,"(Gray, 1864)",LC,,FALSE,FALSE,28-Feb-15,"Stuart, C., Stuart, M. & Do Linh San, E.","Duckworth, J.W. & Hoffmann, M.","Hoffmann, M.",
41663,45215410,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Taxidea,taxus,,,,Taxidea taxus,"(Schreber, 1777)",LC,,FALSE,FALSE,01-Mar-15,"Helgen, K. & Reid, F.","Duckworth, J.W.",,
41697,45218557,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Melogale,orientalis,,,,Melogale orientalis,"(Horsfield, 1821)",LC,,FALSE,FALSE,03-Mar-15,"Duckworth, J.W., Shepherd, C., Rode-Margono, E.J., Wilianto, E., Spaan, D. & Abramov, A.V.","Schipper, J.","Brickle, N. & Wibisono, H.",
136242,45221049,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Meles,anakuma,,,,Meles anakuma,"Temminck, 1844",LC,,FALSE,FALSE,03-Mar-15,"Kaneko, Y., Masuda, R. & Abramov, A.V.","Schipper, J. & Duckworth, J.W.","Sasaki, H.",
136385,45221149,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,MUSTELIDAE,Meles,leucurus,,,,Meles leucurus,"(Hodgson, 1847)",LC,,FALSE,FALSE,03-Mar-15,"Abramov, A.V.","Schipper, J. & Duckworth, J.W.","Wozencraft, C",
2055,45223529,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,australis,,,,Arctocephalus australis,"(Zimmermann, 1783)",LC,,FALSE,FALSE,28-Jan-16,"Cárdenas-Alayza, S., Oliveira, L. & Crespo, E.","Brownell Jr., R.L.","Oliva, D. & Sepúlveda, M.","Lowry, L., Ahonen, H., Pollock, C.M., Chiozza, F. & Battistoni, A."
2057,45223722,ANIMALIA,CHORDATA,MAMMALIA,CARNIVORA,OTARIIDAE,Arctocephalus,galapagoensis,,,,Arctocephalus galapagoensis,"Heller, 1904",EN,A2ab,FALSE,FALSE,30-Oct-14,"Trillmich, F.","Aurioles-Gamboa, D.",,"Lowry, L., Ahonen, H., Chiozza, F. & Battistoni, A."
